CCreditScore,CAge,CTenure,CBalance,CNumOfProducts,CHasCrCard,CIsActiveMember,CEstimatedSalary,Account_Age_Months,Avg_Monthly_Transactions,Transaction_Variance,Last_Login_Days_Ago,Support_Tickets_Count,Mobile_App_Usage_Hours,Is_Holiday_Onboarding,Churn,CLV_Continuous,CBalance_is_negative,CGeography_Germany,CGeography_Spain,CGender_Male,CSeason_Spring,CSeason_Summer,CSeason_Winter
736.536,28,2,-227.7917469,2,1,1,117236,8,10,6.677474967,19,0,4.24,0,0,9695.236014744449,1,0,1,0,0,1,0
573.572,63,3,149953.80713794343,1,1,0,67891,16,9,8.765428740261337,11,0,2.44,0,1,17804.363778527295,0,1,0,1,0,1,0
507.556,51,6,148053.8167999575,1,1,1,165260,16,12,4.657983639409204,12,2,12.58,0,0,22741.888328734825,0,0,0,1,0,1,0
805.002,37,5,-1999.301102,2,1,0,19996,12,4,4.146928141867918,20,0,2.64,1,0,4628.958262987698,1,0,1,1,0,0,1
682.723,36,7,-4170.267351,2,1,0,23918,16,10,12.91664032914243,14,0,4.32,0,0,4895.982462260562,1,0,1,1,0,1,0
794.245,24,10,146966.4584866616,1,1,1,87238,13,11,2.662138350866896,7,0,5.97,0,0,19407.31267997732,0,0,0,1,0,0,0
471.72,29,6,673.9227978300072,2,1,1,1500,29,10,8.274416014464043,11,1,1.8,0,0,6246.257956876974,0,0,0,1,0,1,0
650.04,42,4,833.0852903298427,2,1,0,19378,13,13,17.764310960933173,6,3,0.54,1,0,5013.188308021865,0,0,0,1,0,0,1
807.994,43,0,-4031.349304,2,0,1,99651,36,8,3.599924080455823,14,1,1.58,1,0,7347.743530147814,1,0,1,0,0,0,1
675.67,29,7,129752.97346868509,1,0,0,188121,24,5,5.6623819044621575,29,0,4.96,0,0,20436.66899,0,0,0,1,1,0,0
465.775,26,9,107454.9351618543,1,1,0,8774,25,15,3.4471345950055627,10,1,12.6,0,0,12467.540016981742,0,0,0,1,0,1,0
528.269,35,5,-754.9738488,2,1,1,103884,27,12,3.380008836498365,15,0,4.75,1,0,10096.45345834099,1,0,1,1,0,0,1
494.889,35,7,111138.54461318068,2,1,1,92471,1,11,17.13671074776617,7,0,5.35,0,0,17349.90840804427,0,1,0,1,0,0,0
734.944,49,5,123726.11072049414,1,1,0,148633,8,6,14.132146685752284,7,0,0.59,1,0,18560.49371210925,0,0,0,1,0,0,1
636.472,36,4,-376.420962,1,0,0,173376,10,11,4.147102518,5,0,1.59,0,0,8951.123584650628,1,0,1,1,0,0,1
650.844,24,8,144071.40344831414,1,1,1,129865,24,12,7.739493754226531,6,2,7.39,0,0,21447.33786428152,0,0,0,0,1,0,0
636.533,38,3,549.9458109403477,1,1,0,40740,35,13,2.5019873042842726,9,2,2.66,0,0,5721.067106498926,0,0,0,1,1,0,0
680.388,32,9,-1933.749583,2,1,1,22678,6,9,7.388927315280418,10,0,1.19,0,0,5733.770803828851,1,0,0,0,0,0,0
611.04,32,1,-1416.633936,2,0,0,2146,17,14,17.813620103807164,25,0,5.76,0,0,3395.2764437262267,1,0,0,1,0,1,0
814.373,34,1,152982.5504274573,2,1,1,187764,22,18,4.459992329013946,7,0,6.44,0,0,25579.13756106216,0,1,0,0,0,0,0
769.461,30,8,-234.526805,2,1,0,99991,18,9,8.757721726949102,42,1,0.73,0,0,6157.114330806717,1,0,0,0,0,1,0
813.265,24,7,111314.9931358591,1,1,0,184195,4,14,11.33210969053105,4,0,12.32,0,0,18799.890110743392,0,0,0,1,0,0,0
714.65,20,3,-1131.915481,2,0,1,148993,9,14,6.238564024443922,6,1,0.32,0,0,10260.794599479868,1,0,1,1,0,0,0
646.985,63,8,129024.08947765612,1,1,1,99651,5,17,11.717211402992554,25,0,12.62,0,0,15924.352072500164,0,0,1,0,0,1,0
457.031,33,1,189385.79910781665,1,0,0,56387,8,11,2.2923034250843983,32,0,3.59,0,0,19134.99171529179,0,0,0,0,1,0,0
561.039,34,6,140999.47019451452,1,1,1,152232,28,11,17.706320584385395,23,1,5.75,0,0,22154.26768222638,0,0,0,0,1,0,0
631.559,37,2,131985.80559546658,2,1,0,148002,3,12,6.016545515699767,17,0,0.79,0,0,20051.900874127,0,0,0,0,1,0,0
745.964,48,10,97755.27525786468,1,1,0,76198,6,15,8.047674786771136,11,1,0.36,0,0,13440.344649319382,0,1,0,1,0,0,0
634.504,35,9,111149.80610688684,2,1,0,24839,11,19,10.322828159136456,18,3,3.55,0,0,13868.734691282698,0,0,0,1,0,1,0
620.981,34,8,99641.06314904452,1,1,0,122765,1,16,22.5719096,18,0,6.23,0,0,15147.030791678346,0,1,0,0,1,0,0
651.868,33,7,138169.41210402022,2,0,1,174141,6,14,4.767652247512998,14,2,0.31,0,0,22160.401181285102,0,1,0,1,0,1,0
637.93,32,9,2241.483017908931,2,1,0,109739,13,15,12.986587831724451,91,2,0.97,0,0,8450.216627478065,0,0,0,1,1,0,0
635.876,46,9,160085.00014782645,1,0,1,93960,16,7,4.657546339015537,26,0,14.0,0,0,19919.261699104936,0,0,1,1,0,1,0
696.713,76,7,-213.1681451,2,0,1,185966,13,8,5.181300370007722,15,2,14.36,1,0,11929.967321501064,1,0,0,0,0,0,1
542.316,39,2,-1024.480314,2,1,0,80390,23,15,16.308710984988505,6,0,1.52,0,0,7824.339916089586,1,0,1,1,0,0,1
703.504,39,8,111963.4766,1,0,1,4102,2,15,7.314587554446627,34,1,2.31,0,0,11750.276885546546,0,1,0,0,0,0,0
733.805,29,0,141022.58239046764,1,1,0,17509,4,9,2.848477846437416,15,1,14.09,0,0,14444.589369933228,0,0,0,0,1,0,0
609.454,41,4,93650.83434290491,1,1,0,102420,1,17,1.77647117,14,0,5.42,0,1,4311.170396677329,0,1,0,0,0,0,0
805.185,22,8,174413.37844413417,2,0,1,196622,9,18,7.661206153487874,31,0,1.88,1,0,26024.39655214233,0,0,0,0,0,0,1
690.745,35,9,107313.97326115066,2,0,0,48610,22,11,13.316397533600918,5,0,0.99,0,0,14343.539985645744,0,0,0,0,0,0,0
659.023,28,7,94566.47481397804,1,0,0,103490,15,14,5.104964942028657,10,2,0.35,0,0,13949.618868859336,0,0,1,0,0,0,0
756.755,32,2,-639.5708144,1,1,1,114180,11,10,20.74996825949492,19,0,5.3,0,0,8474.98738,1,0,1,0,1,0,0
835.247,39,5,165646.81788564622,2,1,0,9912,11,12,0.6519571228619679,30,0,10.94,0,0,17539.907885404275,0,0,1,0,1,0,0
582.504,35,10,135736.05916296193,2,1,1,23502,7,15,5.450542742259351,28,0,8.17,0,0,16711.584167409368,0,1,0,1,1,0,0
768.942,36,4,102380.44461804128,1,0,1,4337,3,14,11.283158187831775,9,0,1.74,0,0,11184.33005053444,0,1,0,0,0,0,0
673.255,39,6,-3577.179474,1,0,1,99651,4,6,7.851263252,26,0,3.13,0,0,4488.751307156352,1,0,1,0,0,1,0
560.156,47,9,389.2281972881967,2,1,0,102023,16,15,1.024971264480026,13,0,1.7,0,0,8358.537102700402,0,0,0,0,0,1,0
703.041,39,5,146714.2716703158,2,1,1,190818,17,9,14.03270644626803,17,0,0.22,0,0,24863.90264564671,0,1,0,0,0,1,0
730.179,44,6,164876.0802553451,1,0,1,197530,2,10,9.769486855,17,0,2.97,0,0,23841.17075804611,0,0,0,0,0,0,0
736.159,60,4,1856.672917562243,1,1,1,99651,3,15,4.512143010721776,10,0,14.81,0,0,5799.134219523933,0,0,1,1,0,1,0
621.657,33,4,2708.339730315188,2,1,1,41958,2,17,5.120779232301823,8,0,3.38,0,0,6688.833729697393,0,0,1,1,0,1,0
757.25,31,8,151270.80002172763,2,1,1,199183,38,10,2.2998133374512437,11,2,6.98,0,0,26655.311005165757,0,1,0,1,0,0,0
581.796,37,4,-6.509065882,2,1,1,30690,13,14,8.212996524557099,9,0,1.58,0,0,6592.150957375761,1,0,1,1,1,0,0
584.308,39,1,127839.09992956706,2,1,0,74342,22,12,8.157140433831605,25,0,7.23,0,0,17673.859104453182,0,0,0,1,1,0,0
773.455,38,6,180145.09606639892,2,0,0,102420,13,10,1.7011164406605817,8,0,5.57,0,0,19776.59806294513,0,1,0,0,0,0,0
666.066,55,8,136652.5316584444,1,1,1,93406,12,13,6.119628133,15,1,6.6,0,0,18709.392338565136,0,0,0,0,1,0,0
720.935,40,9,117940.43591928243,1,1,1,99991,31,13,2.6712192959135392,11,0,8.84,1,0,16444.778388045426,0,0,0,1,0,0,1
498.814,39,6,659.7082617433153,2,1,1,83333,23,9,2.231838343549337,30,0,7.52,1,0,9075.199760372736,0,0,1,1,0,0,1
688.854,35,4,135579.33709690472,1,1,0,113154,4,10,3.698967516764722,4,0,0.47,0,0,17899.27901284594,0,0,1,1,0,1,0
515.015,41,5,113507.95195800564,1,1,0,89201,2,18,17.866350110329087,6,0,2.69,1,0,15062.845268593006,0,1,0,0,0,0,1
599.856,30,9,102680.29145644064,1,1,1,121137,11,6,17.262258302002166,51,0,1.57,0,0,16862.734902593143,0,0,0,1,0,0,1
630.434,38,8,106384.36258934531,2,0,1,81076,3,10,1.868043909931327,3,0,12.99,1,0,15864.509105132296,0,1,0,1,0,0,1
756.068,41,6,684.0599631176397,2,0,0,102359,8,6,3.324090475424269,3,0,0.34,0,0,7316.997816041321,0,0,1,0,0,1,0
691.27,35,8,98508.40564993424,2,1,0,21997,2,7,4.935249314166156,3,0,8.5,1,0,12424.070350342654,0,0,1,1,0,0,1
688.277,26,0,-3179.322962,2,1,0,105131,22,10,7.880991920843205,20,1,1.27,0,0,8432.457627,1,0,0,1,0,1,0
744.863,25,5,114910.27922253124,1,1,0,125994,7,17,6.577773501925942,9,1,0.64,0,0,16889.27611,0,1,0,0,1,0,0
716.959,41,9,2082.079661228332,1,1,1,114487,15,11,0.7942547851157249,13,2,0.47,0,0,8941.371972197845,0,0,0,1,0,0,0
746.869,33,1,76161.19730844926,1,1,0,19419,10,10,3.647191356955001,10,0,1.84,0,0,9654.871589873766,0,0,0,0,0,0,1
723.847,44,10,827.2191023648818,1,0,1,93481,8,13,2.960415120246101,12,0,10.99,0,0,6866.787634662337,0,0,0,0,0,0,1
609.471,68,5,86534.49937,2,1,1,145109,19,13,8.469518049567663,11,1,1.06,0,0,18375.79585428929,0,0,0,1,1,0,0
699.796,44,2,59048.86160021491,1,1,0,15894,9,13,5.046306134425944,42,0,9.09,0,0,7928.102508030918,0,0,0,0,1,0,0
687.367,31,2,-1303.076932,2,1,0,90517,8,14,16.006210707436196,10,0,13.02,0,1,7390.474976370321,1,0,0,0,0,0,0
852.649,29,10,791.1278723126579,2,1,1,95635,26,16,3.5207368421924907,4,1,11.27,1,0,9956.553204533931,0,0,1,0,0,0,1
669.34,40,7,113796.6859,2,1,0,34448,23,7,7.196089231377194,3,0,2.75,1,0,15183.249848108431,0,0,0,1,0,0,1
527.892,37,1,142280.58536877367,2,0,1,84352,1,14,5.479967734439287,9,0,2.79,0,0,18708.27481034162,0,0,1,1,0,1,0
753.072,36,2,-1829.002998,2,1,1,44578,7,4,2.323795336957152,15,0,4.33,0,0,6620.301829637081,1,0,1,1,0,1,0
457.183,28,2,173711.0384014713,2,1,1,7609,38,12,1.892641178015184,13,0,3.1,0,0,20742.62499338994,0,1,0,0,0,0,1
514.534,37,5,110482.2503,1,0,1,28736,13,13,0.062857279,25,0,5.65,1,0,13192.039987893386,0,0,0,1,0,0,1
786.186,23,10,95367.23630179692,1,1,1,143582,2,13,2.2072390735580023,5,0,2.98,0,0,16990.04818978871,0,0,1,1,0,1,0
848.324,29,6,239.79113979963816,2,1,1,11780,12,17,3.3888546499752845,24,0,0.38,0,0,5672.825530337516,0,0,0,1,0,1,0
741.464,33,0,177754.80345740783,1,1,1,108293,36,15,21.25511347989925,5,0,11.3,0,0,23917.608564337737,0,1,0,1,0,1,0
589.063,41,1,90852.9717,1,1,0,20636,44,14,16.602997517757526,10,2,3.61,0,0,12583.135134763015,0,0,0,1,1,0,0
653.028,37,6,130382.95936400644,1,1,0,87116,18,14,5.1304596699897855,13,1,1.95,0,0,17052.744165139848,0,1,0,1,1,0,0
788.465,34,9,70368.69253933987,1,1,1,69702,12,10,1.0443957787432587,9,1,7.92,0,0,12534.407428792949,0,0,0,0,0,0,0
614.045,47,6,146242.29967004145,1,1,1,77256,4,15,9.049028573,18,0,3.0,1,0,18391.31620006602,0,0,0,1,0,0,1
676.042,35,8,879.0480614920859,2,1,0,27528,4,8,8.491734129657893,3,0,10.96,1,0,4930.432675797363,0,0,1,1,0,0,1
603.882,33,9,130027.22457718488,1,0,0,149099,1,10,15.070080001375295,38,1,0.68,1,0,17725.045461891004,0,0,0,1,0,0,1
479.369,40,6,-217.2755211,1,1,1,22198,11,6,14.374646583600224,51,0,4.08,0,0,4716.5378413132685,1,0,0,1,1,0,0
583.208,43,2,1259.280386068679,2,1,0,86492,7,6,0.3993547821680498,28,1,9.49,0,0,7270.082593437161,0,0,0,0,0,0,1
709.831,37,8,114682.7860710097,1,0,0,79302,3,14,13.710290545891588,19,0,2.33,0,0,13899.350634418552,0,0,0,0,0,0,0
721.905,24,6,3359.210823326372,2,1,1,99991,34,11,4.055020147838308,45,0,9.14,0,0,8473.302804690424,0,0,0,0,0,0,1
619.64,58,5,151960.92635929846,1,1,1,87391,9,12,5.1668259815031465,21,1,0.96,0,0,19497.419665332905,0,0,0,1,0,0,0
657.812,32,9,-401.5665199,2,1,0,157359,0,10,6.991202358876082,13,0,9.82,0,0,9746.116395044224,1,0,0,0,0,1,0
558.561,25,5,2890.421267878238,2,1,1,162396,19,12,12.432405013680452,21,0,4.72,0,0,12263.839240590483,0,0,1,1,1,0,0
549.668,26,2,145297.18828063578,1,1,0,49388,9,10,4.181315380628542,32,0,1.08,1,0,16173.289501156783,0,0,0,0,0,0,1
716.095,53,2,111002.0980448338,2,0,0,23971,94,17,13.647436148085736,26,0,0.94,0,0,17085.068471308892,0,0,1,1,1,0,0
509.663,63,8,2520.867028306217,2,1,1,116603,12,11,15.364738547446333,1,1,4.21,0,0,10227.387108141524,0,0,0,1,0,0,0
686.971,31,6,106834.45220733888,2,1,1,16778,48,10,2.638322392,12,1,22.71,0,1,16258.72423827097,0,1,0,1,0,1,0
674.996,29,3,2063.223837526185,2,1,0,156313,0,14,13.111371596212969,16,1,5.39,0,0,9873.011727498078,0,0,0,0,0,1,0
809.923,67,1,3138.559785684188,2,0,1,99991,1,7,6.993341273779087,5,0,0.49,0,0,6230.629210179981,0,0,0,0,0,0,0
689.348,33,1,131077.61749665736,1,1,1,112058,5,8,6.978880940573275,17,0,1.99,0,0,18642.041677530757,0,0,0,0,0,1,0
771.05,30,8,-1852.95718,2,1,1,172099,38,18,1.528969524374044,8,0,10.64,1,0,13421.309435327235,1,0,0,1,0,0,1
645.421,66,0,-236.8469154,2,0,1,44702,26,14,14.337198962364258,16,0,2.2,0,0,6918.394776036702,1,0,0,1,0,1,0
603.608,36,4,99437.99616,1,1,1,47287,1,9,8.730876714158539,10,0,0.08,0,0,13370.410330824248,0,0,1,0,0,0,0
637.466,35,10,-2692.622845,1,1,0,84159,1,10,4.771130777604749,25,0,6.91,1,0,5380.079737811183,1,0,1,0,0,0,1
772.277,33,1,118700.88443458852,2,1,1,25049,24,10,14.674920029808955,13,0,9.2,0,0,16359.981324649874,0,1,0,0,0,1,0
509.652,35,1,88450.92555190976,1,0,0,57939,7,8,9.262704097372383,1,0,7.71,0,0,11339.118949034271,0,0,0,1,1,0,0
713.666,49,8,2758.541522182308,2,1,0,182348,6,6,1.004624431509714,23,0,1.44,0,0,11218.93901255014,0,0,1,0,1,0,0
457.352,40,10,134900.01951921763,2,1,0,152875,23,10,0.8317566020401232,45,0,4.57,0,0,21360.99563208406,0,0,0,1,0,0,0
749.13,62,6,-620.7177416,2,1,1,135965,10,9,16.620229274047663,5,0,18.91,0,0,10639.904482941733,1,0,0,0,1,0,0
702.138,27,1,-1830.878883,2,1,0,92459,1,19,16.068605464930158,20,3,8.34,0,0,7014.353168,1,0,0,1,0,0,1
629.215,38,3,9.743845069,2,1,1,49699,1,14,4.580347780651945,16,2,10.06,0,0,6651.070400129247,0,0,0,0,0,0,0
527.564,22,9,-2116.24629,2,1,0,99991,5,9,4.681927581189932,1,0,2.17,0,0,5688.526663180469,1,0,0,1,0,0,0
707.456,37,9,155165.60808492042,1,1,1,138561,25,9,0.7994310195589933,22,0,0.29,1,0,22613.10972171216,0,0,1,0,0,0,1
502.611,41,1,812.1057980070011,2,1,0,30223,17,10,22.23448654466817,45,2,3.34,0,0,5399.5888992389055,0,0,0,0,0,1,0
726.302,58,5,93650.83434290491,1,1,0,24370,50,14,7.866686212312207,15,0,3.07,0,1,5735.041547576209,0,1,0,1,0,1,0
708.997,23,2,-355.2502037,2,0,1,63324,3,12,3.930159222633381,11,0,4.04,0,0,6513.591650408144,1,0,0,1,0,1,0
698.919,34,6,110558.50081630562,1,1,1,119618,7,17,0.4384546316162435,14,0,0.85,0,0,17421.015893803877,0,0,1,0,1,0,0
550.296,36,2,134466.96688273604,1,0,1,178519,35,7,4.834488473269242,24,1,0.4,1,0,22239.77939,0,0,0,0,0,0,1
551.487,33,1,78174.80325407979,2,0,1,83078,12,15,18.016838110728155,10,1,9.37,0,0,14046.471032006171,0,0,0,0,0,0,1
664.961,31,6,171787.33486238742,1,0,1,44321,11,9,9.539218514040872,11,0,12.37,0,0,18729.43503119145,0,0,0,0,0,0,0
725.611,26,1,78603.65656752665,1,1,1,19051,28,11,3.657271557647623,9,0,2.22,0,0,11972.378614079556,0,0,1,0,0,0,0
659.126,24,2,-2113.331349,2,1,1,83925,5,6,1.0153134517997502,1,0,0.25,0,0,8197.802560123753,1,0,0,0,1,0,0
790.713,70,1,-991.6839063,2,1,1,42148,9,12,14.66681135,26,2,3.37,0,0,6616.384056704492,1,0,1,0,1,0,0
754.94,27,7,1004.2632628588992,2,1,0,146302,4,12,15.181643327390413,17,1,4.94,1,0,9557.165917078572,0,0,0,0,0,0,1
763.48,43,5,132738.04121353032,1,1,1,135913,5,11,7.595564743325704,28,0,2.92,0,0,19667.080091652057,0,0,1,0,0,0,0
561.609,33,6,-229.6007998,2,0,0,175149,6,14,8.725061058806315,10,0,9.83,0,0,9953.521786970035,1,0,0,1,1,0,0
555.665,61,2,116934.1069449006,1,1,1,89544,8,10,12.55832142141139,26,3,2.91,0,0,16690.526052042555,0,0,0,0,1,0,0
757.426,23,5,123454.0276359625,1,1,0,102456,2,12,7.364849648148546,15,0,1.77,1,1,16334.99181922266,0,1,0,0,0,0,1
546.929,48,1,180809.28298093384,2,0,1,69775,0,12,6.405702840700379,4,1,0.56,0,0,21229.30740999474,0,0,0,0,1,0,0
624.37,49,4,129279.0766656072,1,1,0,130022,3,11,12.727177140097282,9,1,5.01,1,1,17967.774082998094,0,1,0,0,0,0,1
772.107,41,1,73137.79260142599,1,1,0,26847,8,12,14.816390849070658,2,1,1.15,0,0,9700.676387814476,0,0,1,1,1,0,0
802.879,42,5,4337.905857310362,2,1,1,76660,5,12,25.748271339447182,9,0,1.67,0,0,8376.603067035288,0,0,1,1,0,0,0
794.094,28,3,-4174.630231,2,1,0,1147,21,11,6.962841685554744,11,0,6.37,1,0,4218.142753728157,1,0,0,1,0,0,1
662.538,27,8,2090.8985384757075,1,1,1,187380,7,13,1.3079453352850787,47,1,7.36,0,0,11306.474759612764,0,0,1,1,1,0,0
537.923,39,7,111544.73639584667,2,1,0,27502,55,17,4.183854114320321,8,4,1.79,1,0,16265.137743563002,0,1,0,1,0,0,1
671.002,42,10,64256.515406912535,2,0,0,28026,42,6,9.313406423929676,17,0,16.31,1,0,11002.810177652154,0,1,0,0,0,0,1
705.018,36,8,129134.61855169796,1,1,0,151882,5,11,12.534470158792688,27,0,0.38,0,0,18795.84163929936,0,0,1,1,0,0,0
673.468,37,6,124200.6876325761,2,1,0,92778,1,18,6.110167289104706,24,0,0.11,0,0,17095.202948436607,0,0,1,0,0,1,0
653.114,27,8,1676.9631110006658,2,0,0,5503,14,18,0.9887373878540614,18,0,3.35,1,0,3655.177909045537,0,0,1,0,0,0,1
722.525,21,8,154997.48650572303,1,1,1,161110,1,14,24.57755809970829,25,0,2.73,0,0,22246.33715828882,0,1,0,1,1,0,0
659.381,45,7,146767.01808596347,1,1,1,196822,4,5,11.248303470631614,25,1,3.51,0,0,23214.745262018507,0,0,0,0,1,0,0
624.755,26,9,76128.38737125255,2,0,0,32395,0,18,16.247654292682686,17,2,1.6,0,0,10037.709006413512,0,0,0,1,0,1,0
737.373,41,8,-799.5176993,1,1,0,193620,33,18,5.076423284899896,7,0,0.98,0,1,11661.812272149393,1,0,1,0,1,0,0
749.339,21,4,79901.77900246214,2,1,0,163356,7,6,3.441253800783361,6,0,17.49,0,0,16804.886831301286,0,0,0,0,0,0,1
830.447,50,7,-757.1219181,2,0,1,179150,21,20,2.0785342203121355,23,0,7.47,0,0,11944.583402633822,1,0,1,1,1,0,0
536.505,30,6,104820.49568727156,1,1,1,125432,11,10,4.688504449043783,6,2,0.45,0,0,17458.771950991504,0,0,0,1,1,0,0
699.361,37,1,134718.45402522854,1,1,0,159798,11,10,11.971140447603856,12,3,0.14,1,0,19981.99138,0,0,0,1,0,0,1
655.616,72,5,139074.4965645685,2,1,1,102420,1,12,16.036652271484975,6,1,1.6,0,0,17892.341767004036,0,1,0,0,0,1,0
484.067,37,8,156496.70047216717,2,1,1,175279,3,13,7.518240960883071,13,1,33.42,1,0,24324.65832623854,0,0,0,1,0,0,1
742.901,36,4,107989.11981492752,1,0,0,94497,26,15,5.754990615743928,36,2,10.18,1,1,15041.991979648748,0,1,0,0,0,0,1
755.718,39,3,73841.40231389593,1,0,0,32490,56,19,1.6502759843691412,8,0,0.29,0,0,11522.566786804757,0,0,0,1,0,1,0
554.75,32,10,-186.7434697,2,0,1,166869,1,15,4.790620817829765,27,2,3.25,0,0,10494.875220783866,1,0,1,1,0,0,0
635.478,72,1,162692.73157806095,2,1,1,99991,10,10,2.8339171949663533,25,1,1.88,0,0,20091.193463645413,0,0,0,1,1,0,0
489.431,28,1,76793.54489171544,2,1,1,166234,53,12,7.532643920849071,36,2,3.47,0,0,19976.51664956554,0,1,0,1,1,0,0
636.932,35,5,682.5061944987352,2,1,0,93317,3,17,3.335191584795721,10,2,1.15,0,0,7424.242454142697,0,0,0,1,0,0,0
652.296,23,4,91761.24144411046,2,1,0,69190,15,14,9.040126598523324,17,0,10.46,1,0,14285.365305900235,0,1,0,1,0,0,1
803.012,80,8,-557.636896,2,0,1,99651,29,10,5.768023731732465,7,0,5.11,0,0,7323.994434068683,1,0,1,1,0,0,0
542.433,33,8,143756.6022565798,2,0,0,77785,0,17,0.9001063316391111,19,1,9.09,0,0,17231.364093952954,0,1,0,1,0,1,0
684.859,54,1,127606.49100541291,2,0,1,107261,6,9,11.949083305181505,1,0,3.48,0,0,18778.197192694624,0,1,0,0,0,1,0
719.725,31,3,85135.82686,2,1,0,61394,50,16,6.741031953323435,57,2,5.33,0,0,15023.433843447245,0,1,0,0,1,0,0
613.121,32,7,99102.25574,2,1,1,102420,2,14,16.61790677051745,9,0,1.2,0,0,14705.733073014808,0,1,0,1,0,1,0
630.489,29,6,93650.83434290491,1,0,1,9500,28,12,3.143029901,5,0,8.45,0,1,4503.817704586416,0,1,0,1,0,0,0
656.654,42,7,98536.01439232584,1,1,1,66924,8,11,6.003545727366462,7,2,3.14,0,0,14472.555616501528,0,0,0,1,1,0,0
609.756,37,5,144755.69044397192,2,0,0,161174,7,12,13.95103873873086,13,1,6.42,0,0,21041.79311576117,0,0,0,1,0,1,0
592.025,34,9,1146.386941728708,2,1,1,18339,19,11,8.192515805147885,4,0,0.36,0,0,6525.419103058405,0,0,0,0,0,1,0
655.665,55,2,68759.32187181228,1,0,1,61360,5,9,6.581683038,39,0,0.05,0,0,10710.663427082109,0,0,1,1,1,0,0
704.026,39,8,142854.7214581401,1,1,1,9488,6,11,5.131912986468415,8,0,5.22,1,0,15600.983222702638,0,0,1,0,0,0,1
491.759,37,5,107773.98399636404,2,1,0,171512,1,19,10.038306816367712,17,2,24.42,0,0,18983.701111112445,0,1,0,1,1,0,0
664.869,46,3,121.28436381774809,2,0,1,7908,9,9,1.1433712301214114,22,1,5.71,0,0,4589.085995941611,0,0,0,1,0,1,0
697.993,41,3,87009.30294333214,1,1,1,13187,15,9,5.189007783149971,3,1,1.57,1,0,11800.783631497958,0,0,0,1,0,0,1
573.952,33,3,131842.58343362657,1,1,0,60471,0,13,9.933046924325817,7,0,2.45,1,0,15279.986270804877,0,0,0,0,0,0,1
697.019,36,6,109703.28138368014,2,1,0,118190,7,16,2.218809748152426,22,0,2.78,0,0,17240.27624177146,0,0,0,1,1,0,0
687.745,38,0,143801.25814044703,1,0,1,136362,1,9,1.5010606777525513,11,1,1.02,0,0,19707.800025888275,0,0,0,1,0,0,1
